video name,user summary,our summary
Air_Force_One,9.5,8.0
Base jumping,NaN,9.0
Bearpark_climbing,8.5,10.0
Bike Polo,10.0,8.0
Bus_in_Rock_Tunnel,NaN,9.0
car_over_camera,7.0,8.0
Car_railcrossing,NaN,7.0
Cockpit_Landing,8.0,9.0
Cooking,7.5,NaN
Eiffel Tower,5.0,NaN
Excavators river crossing,6.5,NaN
Fire Domino,7.666666666666667,6.0
Jumps,7.0,9.0
Kids_playing_in_leaves,NaN,NaN
Notre_Dame,7.0,9.0
Paintball,7.0,NaN
paluma_jump,8.0,9.0
playing_ball,5.0,10.0
Playing_on_water_slide,NaN,9.0
Saving dolphines,6.0,9.5
Scuba,8.0,9.0
St Maarten Landing,NaN,9.0
Statue of Liberty,8.0,8.0
Uncut_Evening_Flight,NaN,8.0
Valparaiso_Downhill,NaN,9.5
